Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2018-05-11 16:00:00,BTCUSD,8585.0,8691.34,8585.0,8657.0,134.41,1158537.97
2018-05-11 15:00:00,BTCUSD,8610.5,8671.0,8550.0,8585.0,114.18,983661.56
2018-05-11 14:00:00,BTCUSD,8532.5,8669.51,8532.5,8610.5,139.74,1202781.24
2018-05-11 13:00:00,BTCUSD,8500.0,8610.0,8470.01,8532.5,127.36,1089529.07
2018-05-11 12:00:00,BTCUSD,8621.01,8621.01,8474.47,8500.0,329.51,2809473.54
2018-05-11 11:00:00,BTCUSD,8715.0,8763.86,8600.76,8621.01,187.47,1628750.05
2018-05-11 10:00:00,BTCUSD,8710.84,8800.0,8685.05,8715.0,105.79,924879.79
2018-05-11 09:00:00,BTCUSD,8752.0,8781.01,8675.0,8710.84,168.0,1464573.22
2018-05-11 08:00:00,BTCUSD,8712.87,8855.5,8681.1,8752.0,332.25,2920908.41
2018-05-11 07:00:00,BTCUSD,8805.0,8849.94,8651.0,8712.87,755.32,6606112.58
2018-05-11 06:00:00,BTCUSD,9006.19,9021.0,8805.0,8805.0,413.14,3672042.77
2018-05-11 05:00:00,BTCUSD,8930.0,9020.0,8930.0,9006.19,74.1,666169.71
2018-05-11 04:00:00,BTCUSD,8910.01,8991.0,8910.01,8930.0,78.43,702694.49
2018-05-11 03:00:00,BTCUSD,8900.0,8953.2,8890.0,8910.01,79.46,709678.31
2018-05-11 02:00:00,BTCUSD,8933.33,8960.0,8892.0,8900.0,70.17,626529.99
2018-05-11 01:00:00,BTCUSD,8930.04,8960.0,8889.0,8933.33,89.63,801029.96
2018-05-11 00:00:00,BTCUSD,9000.21,9029.0,8855.0,8930.04,305.93,2724134.34
2018-05-10 23:00:00,BTCUSD,9065.1,9094.9,8968.6,9000.21,169.67,1532439.87
2018-05-10 22:00:00,BTCUSD,9070.0,9121.0,9045.0,9065.1,140.38,1272477.24
2018-05-10 21:00:00,BTCUSD,9090.0,9148.0,9060.0,9070.0,85.41,778942.48
2018-05-10 20:00:00,BTCUSD,9100.0,9137.33,9033.0,9090.0,60.66,550756.67
2018-05-10 19:00:00,BTCUSD,9100.0,9148.0,9065.0,9100.0,48.02,436700.85
2018-05-10 18:00:00,BTCUSD,9132.0,9173.7,9067.13,9100.0,105.06,957095.63
2018-05-10 17:00:00,BTCUSD,9381.8,9385.0,9083.0,9132.0,239.22,2194050.29
2018-05-10 16:00:00,BTCUSD,9315.0,9382.78,9310.0,9381.8,76.03,711113.52
2018-05-10 15:00:00,BTCUSD,9313.01,9356.71,9311.3,9315.0,43.95,409774.43
2018-05-10 14:00:00,BTCUSD,9388.0,9388.0,9311.31,9313.01,51.83,483979.22
2018-05-10 13:00:00,BTCUSD,9347.0,9390.72,9301.0,9388.0,48.97,458167.21
2018-05-10 12:00:00,BTCUSD,9300.1,9350.0,9300.1,9347.0,56.92,530308.61
2018-05-10 11:00:00,BTCUSD,9328.65,9367.66,9295.0,9300.1,55.92,521358.75
2018-05-10 10:00:00,BTCUSD,9301.8,9369.0,9280.0,9328.65,96.9,903249.13
2018-05-10 09:00:00,BTCUSD,9369.1,9369.1,9269.0,9301.8,82.09,764818.5
2018-05-10 08:00:00,BTCUSD,9354.12,9398.26,9322.72,9369.1,64.24,601582.79
2018-05-10 07:00:00,BTCUSD,9317.3,9385.0,9250.0,9354.12,59.59,554706.65
2018-05-10 06:00:00,BTCUSD,9290.1,9345.0,9250.0,9317.3,67.96,631988.2
2018-05-10 05:00:00,BTCUSD,9350.0,9384.0,9290.1,9290.1,33.35,311261.31
2018-05-10 04:00:00,BTCUSD,9322.0,9386.29,9290.1,9350.0,124.02,1160805.29
